time,open,high,low,close,volume
2023-08-25 18:20:00,1854.953,1856.815,1854.953,1856.767,0.0
2023-08-25 18:25:00,1856.731,1858.118,1856.731,1858.118,0.0
2023-08-25 18:30:00,1858.13,1859.169,1858.13,1859.095,0.0
2023-08-25 18:35:00,1859.088,1859.503,1858.437,1858.437,0.0
2023-08-25 18:40:00,1858.42,1858.675,1857.455,1857.455,0.0
2023-08-25 18:45:00,1857.459,1858.184,1857.105,1858.184,0.0
2023-08-25 18:50:00,1858.219,1858.667,1858.202,1858.646,0.0
2023-08-25 18:55:00,1858.649,1859.488,1858.601,1859.484,0.0
2023-08-25 19:00:00,1859.511,1860.577,1859.346,1859.483,0.0
2023-08-25 19:05:00,1859.476,1859.581,1858.872,1859.375,0.0
2023-08-25 19:10:00,1859.374,1859.633,1859.112,1859.112,0.0
2023-08-25 19:15:00,1859.113,1859.951,1859.112,1859.689,0.0
2023-08-25 19:20:00,1859.698,1861.682,1859.698,1861.545,0.0
2023-08-25 19:25:00,1861.57,1861.849,1861.57,1861.583,0.0
2023-08-25 19:30:00,1861.562,1861.562,1860.28,1860.286,0.0
2023-08-25 19:35:00,1860.286,1860.286,1858.107,1858.119,0.0
2023-08-25 19:40:00,1858.111,1858.115,1857.494,1858.103,0.0
2023-08-25 19:45:00,1858.117,1858.318,1855.167,1855.167,0.0
2023-08-25 19:50:00,1855.059,1855.059,1852.601,1852.888,0.0
2023-08-25 19:55:00,1852.897,1853.935,1852.897,1853.484,0.0
